Year,Season,AOD,CO,NO2,O3,LST
2018,Winter,-0.449695818,0.043481649,0.000216121,0.11496629,22.43520572
2018,Winter,-0.541870188,0.042258069,0.000170418,0.11482827,29.94459566
2018,Winter,-0.40177574,0.04487836,0.00030151,0.115267697,25.65839858
2018,Winter,-0.563329937,0.041905851,0.00021487,0.115437998,23.52213608
2018,Winter,-0.551856755,0.042643345,0.000224177,0.115424027,26.30440436
2018,Winter,-0.488594889,0.042824246,0.000168811,0.114889864,26.54366576
2018,Winter,-0.514463965,0.043022643,0.000188093,0.114981443,26.39327288
2018,Winter,-0.550449728,0.043065138,0.000186232,0.11490789,30.46755272
2018,Winter,-0.482129168,0.04388998,0.000264659,0.115418624,22.37026334
2018,Winter,-0.40760364,0.044377577,0.00030404,0.115317301,24.74578724
2018,Winter,-0.51768616,0.043222617,0.000179961,0.114989707,23.32730894
2018,Winter,-0.543527063,0.04270356,0.000167829,0.114874818,26.52315764
2018,Winter,-0.435897842,0.043891326,0.000248016,0.115310597,23.92204442
2018,Winter,-0.587268887,0.041827738,0.000119325,0.11443329,23.1324818
2018,Winter,-0.440936696,0.044136904,0.000273763,0.115376813,24.57830426
2018,Winter,-0.516922526,0.043187697,0.000190857,0.114960068,27.20676164
2018,Winter,-0.407459768,0.043918882,0.00028963,0.115268642,27.29904818
2018,Winter,-0.414917233,0.044812569,0.000289146,0.115353462,25.15594964
2018,Winter,-0.591623452,0.041444498,0.000115723,0.114441286,27.70921058
2018,Winter,-0.55917387,0.04170178,0.000131891,0.114629712,26.5163216
2018,Winter,-0.366160158,0.044971284,0.000295726,0.115222361,25.80879146
2018,Winter,-0.524976693,0.041380289,0.000114411,0.114414085,24.85516388
2018,Winter,-0.401395288,0.044318371,0.000298654,0.115293377,24.8244017
2018,Winter,-0.494120278,0.043026873,0.000228376,0.115059247,23.32389092
2018,Winter,-0.422013026,0.04367482,0.00028525,0.115300987,28.2082415
